subset,n_detectors,n_high,n_medium,n_normal,top17_overlap,br_rank_corr,stability_top17
AE,1,17,40,510,0.47058823529411764,0.35572334831393687,0.7982352941176469
IF,1,19,38,510,0.7647058823529411,0.5798807893929069,0.7861764705882354
LOF,1,18,39,510,0.0,0.19995330086998514,0.8038235294117648
Z,1,19,38,510,0.47058823529411764,0.5873456842616708,0.7973529411764706
IF + LOF + AE,3,17,40,510,0.8235294117647058,0.5129209912162767,0.7917647058823529
IF + LOF + Z,3,18,39,510,0.8235294117647058,0.5773198968781796,0.7961764705882353
IF + Z + AE,3,17,40,510,1.0,0.5578427283784277,0.7979411764705882
LOF + Z + AE,3,17,40,510,0.7058823529411765,0.4944548714304428,0.79
IF + LOF + Z + AE,4,17,40,510,1.0,0.5488788515101461,0.7979411764705882
