ROTTA,PAESE_PART,ensemble_score,anomaly_label,final_risk
CMN-BLQ,Marocco,0.8134715066590099,HIGH,CRITICAL
SIN-MXP,Singapore,0.6688288267317881,HIGH,CRITICAL
ALG-MXP,Algeria,0.6585386140339038,HIGH,CRITICAL
PVG-MXP,Cina,0.6105593395929971,HIGH,CRITICAL
RMO-MXP,Moldavia,0.6074681230411768,HIGH,HIGH
TIA-RMI,Albania,0.6061747356372952,HIGH,HIGH
RAK-CIA,Marocco,0.5909834479158446,HIGH,CRITICAL
FIH-FCO,Congo (Kinshasa),0.5721092761170588,HIGH,CRITICAL
SSA-MXP,Brasile,0.5721092761170588,HIGH,CRITICAL
RAK-TSF,Marocco,0.5668921204906677,HIGH,HIGH
ALG-FCO,Algeria,0.5578656331735137,HIGH,HIGH
GRU-FCO,Brasile,0.5532982848618605,HIGH,HIGH
LHR-VCE,Regno Unito,0.551473353306728,HIGH,CRITICAL
RUH-VCE,Arabia Saudita,0.5449613742304606,HIGH,HIGH
CMN-BGY,Marocco,0.542541869995722,HIGH,HIGH
